insdn_dnn_loss,insdn_dnn_accuracy,insdn_dnn_val_loss,insdn_dnn_val_accuracy,insdn_dcnn_loss,insdn_dcnn_accuracy,insdn_dcnn_val_loss,insdn_dcnn_val_accuracy,cicids2017_dnn_loss,cicids2017_dnn_accuracy,cicids2017_dnn_val_loss,cicids2017_dnn_val_accuracy,cicids2017_dcnn_loss,cicids2017_dcnn_accuracy,cicids2017_dcnn_val_loss,cicids2017_dcnn_val_accuracy,cicddos2019_dnn_loss,cicddos2019_dnn_accuracy,cicddos2019_dnn_val_loss,cicddos2019_dnn_val_accuracy,cicddos2019_dcnn_loss,cicddos2019_dcnn_accuracy,cicddos2019_dcnn_val_loss,cicddos2019_dcnn_val_accuracy
0.0317,0.9647,0.009,0.9918,0.0105,0.9899,0.0085,0.9951,0.0124,0.9778,0.0025,0.994,0.0072,0.9963,0.0064,0.9976,0.007,0.9788,0.002,0.9924,0.0089,0.9948,0.0087,0.9954
0.0072,0.9928,0.0064,0.9961,0.0101,0.9926,0.0073,0.9969,0.0024,0.9946,0.0013,0.9971,0.0069,0.998,0.0064,0.9981,0.002,0.9932,0.0017,0.9933,0.0085,0.9953,0.0071,0.9957
0.0048,0.9952,0.0051,0.9968,0.008,0.9956,0.0068,0.9976,0.0016,0.9963,0.0011,0.9979,0.0069,0.998,0.0064,0.9986,0.0016,0.9942,0.0011,0.9951,0.0081,0.9956,0.0069,0.9958
0.0034,0.9965,0.0042,0.9984,0.008,0.9967,0.0068,0.9977,0.0013,0.997,9.64E-04,0.9977,0.0063,0.9984,0.0058,0.9986,0.0014,0.9948,0.0011,0.9957,0.0074,0.9958,0.0063,0.9958
0.0025,0.9976,0.0043,0.9988,0.0073,0.9975,0.0061,0.9984,0.0011,0.9974,7.30E-04,0.9984,0.0054,0.9984,0.0051,0.9986,0.0013,0.9953,9.31E-04,0.9959,0.0074,0.9957,0.0061,0.9959
0.0019,0.9981,0.004,0.999,0.0072,0.998,0.0058,0.9987,0.001,0.9978,6.63E-04,0.9984,0.0049,0.9987,0.0051,0.9986,0.0012,0.9956,9.82E-04,0.9964,0.0067,0.996,0.0061,0.9961
0.0016,0.9984,0.0038,0.9991,0.007,0.9984,0.0056,0.9988,8.85E-04,0.998,6.24E-04,0.9988,0.0048,0.9989,0.0046,0.999,0.0012,0.9958,7.96E-04,0.9963,0.0065,0.996,0.0056,0.9961
0.0013,0.9986,0.0032,0.999,0.0068,0.9983,0.0056,0.9989,8.18E-04,0.9981,5.46E-04,0.9989,0.0049,0.9989,0.0046,0.999,0.0011,0.9959,7.43E-04,0.9965,0.0062,0.9959,0.0055,0.9958
0.0011,0.9988,0.0032,0.999,0.0063,0.9985,0.0056,0.9989,7.63E-04,0.9983,6.59E-04,0.9984,0.0046,0.999,0.0041,0.999,0.0011,0.9961,7.47E-04,0.9964,0.0055,0.996,0.0051,0.9958
9.41E-04,0.999,0.0037,0.9994,0.0049,0.9988,0.0049,0.9991,6.98E-04,0.9985,4.51E-04,0.9991,0.0043,0.999,0.0041,0.999,0.001,0.9963,8.63E-04,0.9967,0.0055,0.996,0.0048,0.9961
0.0012,0.9991,0.0029,0.9993,0.0047,0.9988,0.005,0.9992,6.56E-04,0.9986,4.45E-04,0.9991,0.0042,0.9991,0.004,0.9991,0.001,0.9963,7.72E-04,0.9967,0.0055,0.9961,0.0047,0.9962
7.47E-04,0.9992,0.0029,0.9994,0.0042,0.9988,0.0043,0.9992,6.33E-04,0.9986,4.56E-04,0.9991,0.004,0.9991,0.0037,0.9992,9.87E-04,0.9964,6.94E-04,0.9969,0.0054,0.9962,0.0044,0.9964
6.75E-04,0.9992,0.003,0.9994,0.0038,0.9989,0.0041,0.9993,5.97E-04,0.9987,5.13E-04,0.9988,0.0039,0.9991,0.0034,0.9992,9.66E-04,0.9965,8.54E-04,0.9969,0.0054,0.9965,0.0044,0.9971
6.06E-04,0.9993,0.0029,0.9994,0.0033,0.9991,0.0041,0.9993,5.67E-04,0.9988,3.78E-04,0.9993,0.0038,0.9992,0.0031,0.9992,9.53E-04,0.9966,8.12E-04,0.9971,0.0052,0.9969,0.0042,0.9973
5.89E-04,0.9993,0.0029,0.9995,0.0033,0.9991,0.0039,0.9993,5.49E-04,0.9988,3.75E-04,0.9993,0.0036,0.9992,0.0028,0.9994,9.36E-04,0.9966,6.54E-04,0.9971,0.0051,0.9971,0.0041,0.9973
5.50E-04,0.9993,0.0031,0.9995,0.0031,0.9991,0.0036,0.9994,5.34E-04,0.9989,4.30E-04,0.9992,0.0031,0.9992,0.0028,0.9994,9.18E-04,0.9967,6.82E-04,0.9972,0.0052,0.997,0.0042,0.9974
5.10E-04,0.9994,0.0036,0.9996,0.0028,0.9992,0.0036,0.9994,5.12E-04,0.9989,3.51E-04,0.9993,0.0028,0.9993,0.0026,0.9994,9.05E-04,0.9967,7.72E-04,0.9973,0.0046,0.9971,0.0038,0.9974
5.08E-04,0.9994,0.0037,0.9993,0.0025,0.9993,0.0036,0.9995,5.07E-04,0.9989,3.24E-04,0.9994,0.0028,0.9993,0.0026,0.9994,8.94E-04,0.9968,6.59E-04,0.9973,0.0044,0.9974,0.0039,0.9977
4.39E-04,0.9994,0.0036,0.9995,0.0028,0.9993,0.0037,0.9995,4.86E-04,0.999,3.54E-04,0.9993,0.0027,0.9993,0.0025,0.9995,8.78E-04,0.9968,5.99E-04,0.9973,0.004,0.9974,0.0037,0.9977
4.84E-04,0.9995,0.0038,0.9996,0.0021,0.9994,0.003,0.9996,4.83E-04,0.999,3.94E-04,0.9992,0.0028,0.9993,0.0023,0.9995,8.71E-04,0.9969,7.08E-04,0.9974,0.0039,0.9975,0.0036,0.9977
4.62E-04,0.9995,0.0034,0.9997,0.0021,0.9994,0.0025,0.9996,4.83E-04,0.999,3.40E-04,0.9993,0.0027,0.9994,0.0022,0.9995,8.59E-04,0.997,9.34E-04,0.9974,0.0036,0.9976,0.0035,0.9978
4.41E-04,0.9995,0.0031,0.9997,0.002,0.9994,0.0025,0.9996,4.62E-04,0.999,3.24E-04,0.9994,0.0027,0.9994,0.0021,0.9995,8.52E-04,0.9972,6.68E-04,0.9975,0.0035,0.998,0.0031,0.9979
3.91E-04,0.9995,0.0037,0.9995,0.0022,0.9994,0.0023,0.9997,4.49E-04,0.9991,3.45E-04,0.9993,0.0026,0.9994,0.002,0.9995,8.46E-04,0.9972,6.89E-04,0.9974,0.0035,0.9981,0.0031,0.998
4.00E-04,0.9995,0.0032,0.9997,0.0019,0.9995,0.0022,0.9997,4.50E-04,0.9991,3.21E-04,0.9994,0.0025,0.9994,0.002,0.9995,8.40E-04,0.9975,6.83E-04,0.9974,0.003,0.9983,0.0031,0.9981
3.83E-04,0.9996,0.004,0.9997,0.0017,0.9997,0.0022,0.9998,4.41E-04,0.9991,3.07E-04,0.9994,0.0025,0.9994,0.0021,0.9996,8.31E-04,0.9975,6.87E-04,0.9975,0.0027,0.9981,0.0031,0.9981
3.19E-04,0.9996,0.0045,0.9997,0.0019,0.9997,0.0021,0.9998,4.25E-04,0.9991,3.35E-04,0.9993,0.0023,0.9995,0.002,0.9996,8.24E-04,0.9976,6.70E-04,0.9975,0.0025,0.9983,0.0029,0.9981
4.11E-04,0.9996,0.0052,0.9995,0.0014,0.9998,0.0019,0.9999,4.18E-04,0.9991,5.10E-04,0.9985,0.002,0.9995,0.0019,0.9996,8.13E-04,0.9977,6.12E-04,0.9978,0.0026,0.9983,0.0027,0.9983
